Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2023,SH_HIV_INCD,231,None,Y15T24,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.11
2000,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.6
2001,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.4
2002,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.2
2003,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,1.1
2004,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.97
2005,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.86
2006,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.76
2007,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.7
2008,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.66
2009,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.59
2010,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.53
2011,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.47
2012,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.42
2013,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.38
2014,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.33
2015,SH_HIV_INCD,231,None,Y15T49,PER_1000_UNINFECTED_POP,2025-03-05T00:00:00,E,0,2023,UNAIDS 2024 HIV ESTIMATES,0.29
