Indicator,Disaggregations,Number of disaggregations
#6-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#6-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#6-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#7-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, URBANISATION",5
#7-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, UPPER_BOUND, LOWER_BOUND, URBANISATION",7
#7-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#7-3-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#7-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL, BASE_PER",6
#7-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#8-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#8-10-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#8-10-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE, INCOME_WEALTH_QUANTILE, EDUCATION_LEV",8
#8-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#8-4-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER, PRODUCT",6
#8-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#8-6-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#8-7-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, SEX, AGE",6
#8-8-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, AGE",5
#8-8-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#8-9-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#8-9-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#8-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#9-1-2,"OBS_STATUS, UNIT_MULT, REF_AREA, COMPOSITE_BREAKDOWN, TIME_DETAIL",5
#9-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER, ACTIVITY",6
#9-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, ACTIVITY",5
#9-4-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER, ACTIVITY",6
#9-5-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#9-5-2,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
#9-a-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, BASE_PER",5
#9-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL, ACTIVITY",5
#9-c-1,"OBS_STATUS, UNIT_MULT, REF_AREA, TIME_DETAIL",4
