Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,17.57
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,17.04
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,18.03
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,17.72
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,21.04
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,20.15
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,20.54
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,20.49
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,21.76
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,23.29
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,26.47
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,25.42
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,23.47
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,22.51
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,23.24
2020,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,23.48
2021,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,24.23
2022,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,ISIC4_GTT,USD_PER_M3,2025-03-21T00:00:00,2018-2022,25.41
