Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.87904
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.82334
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.76949
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.92105
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.88377
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.80624
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.64657
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.64211
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF1,T,2025-03-21T00:00:00,2023,,1.60205
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.50617
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.5441
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.60822
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.65675
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.6792
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF11,T,2025-03-21T00:00:00,2023,,0.70285
