Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,4.4
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,37.7
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,Y25T74,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,31.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,21.7
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,15.2
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,17.7
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,7.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,18.4
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,10.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,10.3
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,12.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,4.7
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,4.6
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,10.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,5.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,3.8
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,3.1
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,2.9
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,31.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,None,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,26.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,12.9
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,10.6
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,9.7
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,3.1
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,9.2
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,6.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,6.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,8.3
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,2.7
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,3.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,6.3
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,4.0
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,2.8
2018,A,0,Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ONLCNS,PT,2025-03-14T00:00:00,2018,2.6
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_ONLSFT,PT,2025-03-14T00:00:00,2018,1.7
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_SNTWK,PT,2025-03-14T00:00:00,2018,19.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,F,None,R,SKILL_VOIP,PT,2025-03-14T00:00:00,2018,17.9
