Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,510.5
2015,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,510.3
2016,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,507.2
2017,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,499.1
2018,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,487.1
2019,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,473.3
2020,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,458.8
2021,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,445.4
2022,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,434.7
2023,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,425.2
2024,A,3,496.6,344.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,414.1
