Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2015,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0823
2016,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.089
2017,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0889
2018,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0889
2019,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.08888
2020,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.08885
2021,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.08861
2022,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0893
2023,SG_INT_VRTDEV,231,IO_IMF,PT,2024-05-07T00:00:00,A,0,2023,IMF Annual Report 2023,0.0895
2005,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5236
2010,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5208
2015,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2016,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2017,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2018,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2019,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2020,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5181
2021,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2022,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2023,SG_INT_VRTDEV,231,IO_UNGA,PT,2024-05-07T00:00:00,A,0,2023,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2017,SG_INT_VRTDEV,231,IO_UNSC,PT,2024-05-07T00:00:00,A,0,2018,Report of the Security Council for 2018 (A/73/2),6.6667
2018,SG_INT_VRTDEV,231,IO_UNSC,PT,2024-05-07T00:00:00,A,0,2018,Report of the Security Council for 2018 (A/73/2),6.6667
