Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_VRTDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2016,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_VRTDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2017,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_VRTDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2018,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_VRTDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2000,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5904
2005,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.587
2010,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5861
2015,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5328
2016,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.54
2017,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5261
2018,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5156
2019,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5065
2020,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.51262
2021,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.51377
2022,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.51894
2023,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_VRTDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.52009
2000,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.2445
2005,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.2438
2010,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.2431
2015,A,0,IFC 2023 Annual Report Volume 2,SG_INT_VRTDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.24306
