Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2007,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.47928
2008,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.48147
2009,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.53996
2010,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.59572
2011,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.61216
2012,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.62726
2013,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.67223
2014,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.71741
2015,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.73493
2016,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.73859
2017,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.77952
2018,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.74471
2019,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.75036
2020,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.74823
2021,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.7224
2022,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.71227
2023,EN_MAT_DOMCMPC,231,MF121,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.71358
2000,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.23155
2001,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.28491
2002,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.43845
2003,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.3598
2004,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.33881
2005,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.37099
2006,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.42885
2007,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.53891
2008,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.55519
2009,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.56191
2010,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.59703
2011,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.51806
2012,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.52555
2013,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.53524
2014,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.55022
2015,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.54273
2016,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.55066
2017,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.54372
2018,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.56338
2019,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.64915
2020,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.71172
2021,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.5786
2022,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.56729
2023,EN_MAT_DOMCMPC,231,MF122,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,1.59147
2000,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.89846
2001,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.88568
2002,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.87281
2003,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.86517
2004,EN_MAT_DOMCMPC,231,MF13,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.85359
