Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,14.1
2010,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,13.8
2011,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,13.3
2012,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.9
2013,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.4
2014,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.0
2015,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,11.6
2016,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,11.2
2017,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,11.0
2018,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,10.8
2019,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,10.7
2020,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,10.7
2021,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,10.9
2022,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,11.2
2023,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,11.7
2024,A,0,19.1,8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,F,Y0T4,PT,2025-03-28T00:00:00,2024,12.5
2000,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,14.0
2001,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,14.7
2002,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,15.3
2003,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,15.8
2004,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.2
2005,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.5
2006,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.6
2007,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.5
2008,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.3
2009,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,16.0
2010,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,15.6
2011,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,15.1
2012,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,14.6
2013,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,14.1
2014,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,13.6
2015,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,13.2
2016,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.8
2017,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.5
2018,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.3
2019,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.2
2020,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.2
2021,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.4
2022,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,12.8
2023,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,13.3
2024,A,0,21.4,9.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGT,12,M,Y0T4,PT,2025-03-28T00:00:00,2024,14.2
2000,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,401.1
2001,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,409.1
2002,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,418.1
2003,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,432.5
2004,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,452.7
2005,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,472.9
2006,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,493.1
2007,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,515.1
2008,A,3,936,395.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SN_STA_OVWGTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2024,537.3
