Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2019,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,12,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.216
2020,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,12,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.215
2021,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,12,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.222
2022,A,0,"IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/statistics",EN_ATM_CO2GDP,12,None,KG_PER_CON_USD,2025-02-19T00:00:00,2022,2021,0.225
2000,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.858
2001,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.853
2002,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.872
2003,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.964
2004,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.064
2005,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.982
2006,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,0.997
2007,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.103
2008,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.033
2009,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.186
2010,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.114
2011,A,0,"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2024), Greenhouse gas emissions from energy. https://www.iea.org/data-and-statistics",EN_ATM_CO2MVA,12,ISIC4_C,KG_PER_CON_USD,2025-03-04T00:00:00,2022,2015,1.112
