Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2010,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",47.1
2011,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",45.8
2012,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",44.6
2013,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",43.7
2014,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",42.9
2015,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",42.1
2016,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",41.3
2017,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",40.5
2018,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",39.7
2019,SH_STA_STNT,231,M,Y0T4,PT,2025-03-27T00:00:00,A,0,2024,42.7,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",38.9
