Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2024,SN_STA_OVWGT,231,M,Y0T4,PT,2025-03-28T00:00:00,A,0,2024,5.9,2.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",3.6
2000,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",371.2
2001,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",391.5
2002,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",410.6
2003,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",427.7
2004,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",441.9
2005,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",452.5
2006,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",458.5
2007,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",459.5
2008,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",456.5
2009,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",449.7
2010,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",439.8
2011,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",428.7
2012,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",417.3
2013,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",406.3
2014,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",397.8
2015,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",393.2
2016,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",393.0
2017,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",398.0
2018,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",409.3
2019,SN_STA_OVWGTN,231,None,Y0T4,NUMBER,2025-03-27T00:00:00,A,3,2024,1082.8,383.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",427.5
