Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C422,None,T,2024-05-16T00:00:00,2010-2022,Lebanon,1550.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C422,None,T,2024-05-16T00:00:00,2010-2022,Lebanon,1888.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C422,None,T,2024-05-16T00:00:00,2010-2022,Lebanon,1589.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C422,None,T,2024-05-16T00:00:00,2010-2022,Lebanon,2675.0
2017,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,30264.0
2018,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,34913.0
2019,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,39883.0
2020,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,50375.0
2021,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,43223.0
2022,A,0,"Global Model for Monitoring Marine Litter, Center for Ocean-Atmospheric Prediction Studies (COAPS)",EN_MAR_BEALIT_BV,12,C434,None,T,2024-05-16T00:00:00,2010-2022,Libya,48869.0
