Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.07
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.08
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.06
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.08
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.1
2018,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.11
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.1
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,F,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.1
2016,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.07
2017,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.07
2019,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.02
2022,A,0,Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,None,PER_100000_POP,2025-03-13T00:00:00,2022,0.02
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.05
2019,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,Y_GE18,PER_100000_POP,2025-03-13T00:00:00,2022,0.03
2016,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.11
2017,A,0,NaN = Value omitted for confidentiality reasons. Data in reference to one country but derived from different types of sources should not be compared between them.,GLOTIP Database,VC_HTF_DETVR,12,M,Y0T17,PER_100000_POP,2025-03-13T00:00:00,2022,0.18
