Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2016,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,75.0
2017,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,56.0
2018,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,86.0
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,86.0
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,122.0
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,160.0
2022,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,112.0
2023,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,F,NUMBER,2025-03-21T00:00:00,2023,105.0
2012,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,195.0
2013,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,170.0
2014,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,492.0
2015,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,475.0
2016,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,467.0
2017,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,468.0
2018,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,482.0
2019,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,433.0
2020,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,532.0
2021,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,535.0
2022,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,683.0
2023,A,0,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),VC_IHR_PSRCN,12,M,NUMBER,2025-03-21T00:00:00,2023,431.0
