Year,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,CUST_BREAKDOWN_LB,Value
2015,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1272.7
2018,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1164.1
2021,ER_MTN_GRNCOV,231,None,LC_SAF,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,1091.8
2000,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,16171.3
2005,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,16958.5
2010,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,17033.1
2015,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,17027.4
2018,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,16671.2
2021,ER_MTN_GRNCOV,231,None,LC_SHR,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,16433.8
2000,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,4879.0
2005,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,5233.3
2010,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,5384.9
2015,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,6003.2
2018,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,5585.0
2021,ER_MTN_GRNCOV,231,None,LC_SNV,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,5306.3
2000,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,10781.0
2005,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,10689.4
2010,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,10726.3
2015,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,11010.1
2018,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,11674.9
2021,ER_MTN_GRNCOV,231,None,LC_TBL,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,12118.1
2000,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,142077.9
2005,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,142318.1
2010,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,141689.7
2015,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,138735.8
2018,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,137647.3
2021,ER_MTN_GRNCOV,231,None,LC_TRE,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),,136921.7
2000,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.4
2005,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.5
2010,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.5
2015,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.8
2018,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.8
2021,ER_MTN_GRNCOV,231,C02,LC_ART,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,0.9
2000,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,14.5
2005,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,12.3
2010,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,13.3
2015,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,14.3
2018,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,17.0
2021,ER_MTN_GRNCOV,231,C02,LC_CRP,KM2,2025-03-21T00:00:00,E,0,2021,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),Alpine,18.7
