Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.14181
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.25196
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.35933
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.52389
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.68204
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.83419
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,83.9802
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.12051
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.25496
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.38398
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.50756
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.62598
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.73937
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,None,PT,2023-09-12T00:00:00,2022,84.8041
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,72.83243
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,72.83243
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,72.83243
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,72.83243
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,72.83243
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,73.08251
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,73.3326
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,73.58268
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,73.83276
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,74.08285
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,74.33293
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,74.58301
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,74.83309
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,75.08318
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,75.33326
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,R,PT,2023-09-12T00:00:00,2022,75.33326
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.25962
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.25962
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.25962
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.25962
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.25962
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.23362
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.20761
2014,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.1816
2015,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.15559
2016,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.12959
2017,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.10358
2018,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.07757
2019,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.05156
2020,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,88.02556
2021,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,87.99955
2022,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_HNDWSH,12,U,PT,2023-09-12T00:00:00,2022,87.99955
2000,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,58.85287
2001,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,59.19371
2002,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,59.52864
2003,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,59.85738
2004,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,60.17999
2005,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,60.49621
2006,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,60.80643
2007,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,61.11042
2008,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,61.40853
2009,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,61.69881
2010,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,61.98217
2011,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.25832
2012,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.31127
2013,A,0,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",SH_SAN_SAFE,12,None,PT,2023-09-12T00:00:00,2022,62.35397
