Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2009,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,9.46
2010,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,9.08
2011,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,9.01
2012,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,15.39
2013,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,6.64
2014,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,7.19
2015,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,7.19
2016,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,8.63
2017,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,8.81
2018,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.55
2019,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.52
2020,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.26
2021,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.17
2022,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,2.97
2023,AG_XPD_AGSGB,231,PT,2025-03-21T00:00:00,E,0,2023,Budgetary Central Government,FAO questionnaires combined with secondary sources (IMF. EUROSTAT. CEPAL) where applicable and/or derived from official country publications (e.g. MoF. Stat Yearbook. Central Bank reports. and UNSD national accounts estimates). FAO imputation for missing values.,3.22
